SAL_avg,CellID,Date
3.52E-17,600,2012/3/6
3.19E-17,600,2012/3/7
3.32E-17,600,2012/3/8
5.11E-17,600,2012/3/9
8.37E-17,600,2012/3/10
3.47E-16,600,2012/3/11
1.23E-15,600,2012/3/12
2.38E-15,600,2012/3/13
3.37E-15,600,2012/3/14
4.30E-15,600,2012/3/15
6.92E-15,600,2012/3/16
1.15E-14,600,2012/3/17
1.81E-14,600,2012/3/18
2.83E-14,600,2012/3/19
4.78E-14,600,2012/3/20
6.70E-14,600,2012/3/21
9.24E-14,600,2012/3/22
9.99E-14,600,2012/3/23
8.68E-14,600,2012/3/24
7.40E-14,600,2012/3/25
2.09E-14,600,2012/3/26
1.21E-15,600,2012/3/27
1.12E-16,600,2012/3/28
1.67E-17,600,2012/3/29
8.13E-18,600,2012/3/30
2.21E-17,600,2012/3/31
4.02E-17,600,2012/4/1
1.92E-16,600,2012/4/2
4.43E-16,600,2012/4/3
9.29E-16,600,2012/4/4
2.20E-15,600,2012/4/5
6.40E-15,600,2012/4/6
2.04E-14,600,2012/4/7
4.51E-14,600,2012/4/8
7.57E-14,600,2012/4/9
1.24E-13,600,2012/4/10
1.82E-13,600,2012/4/11
2.91E-13,600,2012/4/12
4.01E-13,600,2012/4/13
4.87E-13,600,2012/4/14
6.03E-13,600,2012/4/15
6.39E-13,600,2012/4/16
7.75E-13,600,2012/4/17
8.17E-13,600,2012/4/18
1.11E-12,600,2012/4/19
1.40E-12,600,2012/4/20
1.65E-12,600,2012/4/21
2.26E-12,600,2012/4/22
2.61E-12,600,2012/4/23
2.78E-12,600,2012/4/24
2.55E-12,600,2012/4/25
2.41E-12,600,2012/4/26
2.42E-12,600,2012/4/27
2.30E-12,600,2012/4/28
1.32E-12,600,2012/4/29
4.42E-13,600,2012/4/30
2.76E-13,600,2012/5/1
3.38E-13,600,2012/5/2
3.83E-13,600,2012/5/3
5.07E-13,600,2012/5/4
6.65E-13,600,2012/5/5
7.76E-13,600,2012/5/6
1.15E-12,600,2012/5/7
1.58E-12,600,2012/5/8
2.03E-12,600,2012/5/9
2.12E-12,600,2012/5/10
1.98E-12,600,2012/5/11
1.83E-12,600,2012/5/12
1.52E-12,600,2012/5/13
1.37E-12,600,2012/5/14
1.46E-12,600,2012/5/15
1.14E-12,600,2012/5/16
2.15E-13,600,2012/5/17
2.59E-14,600,2012/5/18
3.00E-14,600,2012/5/19
