"CellID","H","DX","DY","LAT","LON","FSM"
3384,1.00000001335143e-10,1208.91259765625,1623.20178222656,37.737133026123,-76.5069046020508,0
3385,1.00000001335143e-10,1178.11242675781,1637.74450683594,37.7376861572266,-76.4933624267578,0
3386,1.00000001335143e-10,1154.20349121094,1651.96643066406,37.7382431030273,-76.4801254272461,0
3387,1.00000001335143e-10,1137.51184082031,1665.95324707031,37.7388038635254,-76.4671249389648,0
3388,1.00000001335143e-10,1128.35876464844,1679.79406738281,37.7393760681152,-76.4542770385742,0
3389,1.00000001335143e-10,1126.60571289062,1693.58068847656,37.7399635314941,-76.4414825439453,0
3390,1.00000001335143e-10,1127.18054199219,1707.37231445312,37.7405662536621,-76.4286956787109,0
3391,1.00000001335143e-10,1126.67517089844,1721.17749023438,37.7411842346191,-76.415901184082,0
3392,1.00000001335143e-10,1124.98889160156,1734.982421875,37.7418212890625,-76.4031219482422,0
3393,1.00000001335143e-10,1122.07641601562,1748.77319335938,37.7424774169922,-76.3903656005859,0
3394,1.00000001335143e-10,1117.89172363281,1762.53515625,37.7431449890137,-76.3776550292969,0
3395,1.00000001335143e-10,1112.38781738281,1776.2529296875,37.7438278198242,-76.3650054931641,0
3396,1.00000001335143e-10,1105.51733398438,1789.91088867188,37.7445297241211,-76.3524169921875,0
3397,1.00000001335143e-10,1097.23266601562,1803.49230957031,37.7452430725098,-76.3399276733398,0
3398,1.00000001335143e-10,1087.48547363281,1816.97998046875,37.7459678649902,-76.3275375366211,0
3399,1.00000001335143e-10,1076.22778320312,1830.35620117188,37.7467041015625,-76.3152618408203,0
3400,3.85167670249939,1063.41186523438,1843.60217285156,37.7474555969238,-76.3031311035156,1
3401,5.03752422332764,1048.99011230469,1856.69921875,37.7482147216797,-76.2911529541016,1
3402,4,1032.91577148438,1869.62670898438,37.7489776611328,-76.2793579101562,1
3403,2.99099564552307,1015.65197753906,1882.36767578125,37.7497520446777,-76.2677459716797,1
3404,4.68853807449341,999.224792480469,1894.91955566406,37.7505302429199,-76.2563323974609,1
3405,6.64312696456909,984.198120117188,1907.29638671875,37.7513122558594,-76.2451019287109,1
3406,8.41781806945801,970.636352539062,1919.51599121094,37.7521057128906,-76.2340316772461,1
3407,9.70784568786621,958.602722167969,1931.59704589844,37.7529029846191,-76.2231063842773,1
3408,14.9762182235718,948.160766601562,1943.55932617188,37.7537117004395,-76.2123184204102,1
3409,19.0140438079834,939.373168945312,1955.42346191406,37.7545280456543,-76.2016296386719,1
3410,28.4824523925781,932.302978515625,1967.21044921875,37.7553558349609,-76.1910400390625,1
3411,29.196798324585,927.013244628906,1978.94299316406,37.7561950683594,-76.1805267333984,1
3412,19.3143672943115,923.567443847656,1990.64453125,37.7570495605469,-76.1700592041016,1
3413,11.9080486297607,922.02978515625,2002.33911132812,37.7579193115234,-76.1596221923828,1
3414,8.60197448730469,922.465454101562,2014.05200195312,37.7588081359863,-76.1492004394531,1
3415,8.75959968566895,924.941223144531,2025.80944824219,37.7597198486328,-76.1387557983398,1
3416,8.95668315887451,929.5859375,2037.63989257812,37.7606506347656,-76.1282806396484,1
3417,8.78278923034668,940.136474609375,2049.59594726562,37.7616081237793,-76.1177291870117,1
3418,8.25721740722656,962.521911621094,2061.79272460938,37.7626075744629,-76.1070022583008,1
3419,8.52383708953857,997.656677246094,2074.39135742188,37.7636566162109,-76.095947265625,1
3420,7.97071361541748,1046.01818847656,2087.56372070312,37.7647743225098,-76.0844345092773,1
3421,8.24637222290039,1108.14624023438,2101.490234375,37.765983581543,-76.0722961425781,1
3422,6.91741561889648,1184.66357421875,2116.36157226562,37.7673034667969,-76.0593795776367,1
3423,5.86630296707153,1276.30065917969,2132.38159179688,37.7687568664551,-76.045524597168,1
3424,5.85035085678101,1383.92492675781,2149.76806640625,37.7703742980957,-76.0305557250977,1
3425,5.62792491912842,1508.576171875,2168.75708007812,37.7721862792969,-76.014289855957,1
3426,8,1651.51171875,2189.60717773438,37.7742347717285,-75.9965286254883,1
3427,12,1814.26281738281,2212.60327148438,37.7765655517578,-75.9770660400391,1
3428,9.10975170135498,1998.70764160156,2238.06518554688,37.7792320251465,-75.9556732177734,1
3429,4.65599536895752,2207.17260742188,2266.35400390625,37.7823028564453,-75.9321060180664,1
3430,3.5,2440.80590820312,2297.873046875,37.7858657836914,-75.9060745239258,1
3431,6,2682.10546875,2332.93359375,37.7900085449219,-75.8774032592773,1
3432,9,2919.23046875,2371.66259765625,37.7948036193848,-75.8461074829102,1
3433,6,3152.78588867188,2414.11791992188,37.8003273010254,-75.8122711181641,1
3434,1.00000001335143e-10,3383.70776367188,2460.37084960938,37.8066749572754,-75.7759552001953,0
3435,1.00000001335143e-10,3613.19677734375,2510.49951171875,37.8139572143555,-75.7372131347656,0
3436,1.00000001335143e-10,3842.97534179688,2564.58129882812,37.8222999572754,-75.6961135864258,0
3437,1.00000001335143e-10,4075.7509765625,2622.67797851562,37.8318672180176,-75.6527099609375,0
3438,1.00000001335143e-10,4316.1201171875,2684.8154296875,37.8428497314453,-75.6070251464844,0
3439,1.00000001335143e-10,4572.51123046875,2750.95581054688,37.8554954528809,-75.5590438842773,0
3440,1.00000001335143e-10,4861.94091796875,2820.96264648438,37.8701095581055,-75.5087280273438,0
3441,1.00000001335143e-10,5224.2470703125,2894.58862304688,37.8872985839844,-75.45556640625,0
3442,1.00000001335143e-10,5782.5986328125,2971.65185546875,37.9074935913086,-75.3995208740234,0
3443,1.00000001335143e-10,7730.80029296875,3056.7890625,37.9349708557129,-75.3336029052734,0
3444,1.00000001335143e-10,0,0,0,0,0
3445,1.00000001335143e-10,0,0,0,0,0
3446,1.00000001335143e-10,1416.66284179688,1133.15600585938,37.7377281188965,-76.9210205078125,0
3447,1.00000001335143e-10,1606.71533203125,1148.37365722656,37.7380180358887,-76.903678894043,0
3448,1.00000001335143e-10,1704.13879394531,1165.39208984375,37.7383651733398,-76.8847808837891,0
3449,1.00000001335143e-10,1774.65185546875,1183.62927246094,37.7387619018555,-76.8649826049805,0
3450,1.00000001335143e-10,1827.91052246094,1202.85083007812,37.7392082214355,-76.844482421875,0
3451,1.00000001335143e-10,1867.20739746094,1222.87145996094,37.7397003173828,-76.8234634399414,0
3452,1.00000001335143e-10,1893.83459472656,1243.51977539062,37.7402420043945,-76.8020706176758,0
3453,1.00000001335143e-10,1908.22021484375,1264.62683105469,37.7408218383789,-76.7804489135742,0
3454,1.00000001335143e-10,1910.34301757812,1286.02221679688,37.7414474487305,-76.7587356567383,0
3455,1.00000001335143e-10,1899.91772460938,1307.53259277344,37.7421035766602,-76.7370681762695,0
3456,1.00000001335143e-10,1876.49584960938,1328.9814453125,37.742790222168,-76.7155914306641,0
3457,1.00000001335143e-10,1839.52722167969,1350.18811035156,37.7434997558594,-76.694465637207,0
3458,1.00000001335143e-10,1788.40502929688,1370.96875,37.7442283630371,-76.673828125,0
3459,1.00000001335143e-10,1722.61682128906,1391.13586425781,37.7449607849121,-76.6538696289062,0
3460,1.00000001335143e-10,1648.44262695312,1410.53967285156,37.7456932067871,-76.6347198486328,0
3461,4,1576.54235839844,1429.13061523438,37.7464218139648,-76.6164093017578,1
3462,8,1508.31091308594,1446.93322753906,37.747142791748,-76.5988998413086,1
3463,4.084228515625,1444.22241210938,1463.9853515625,37.7478561401367,-76.5821380615234,1
3464,1.00000001335143e-10,1384.72375488281,1480.33215332031,37.7485618591309,-76.5660858154297,0
3465,1.00000001335143e-10,1330.23791503906,1496.02600097656,37.7492561340332,-76.5506744384766,0
3466,1.00000001335143e-10,1281.166015625,1511.12475585938,37.7499465942383,-76.5358581542969,0
3467,1.00000001335143e-10,1237.88891601562,1525.69189453125,37.7506294250488,-76.5215682983398,0
3468,1.00000001335143e-10,1200.76989746094,1539.79528808594,37.7513046264648,-76.5077362060547,0
3469,1.00000001335143e-10,1170.15612792969,1553.50805664062,37.7519798278809,-76.4942855834961,0
3470,1.00000001335143e-10,1146.38159179688,1566.90673828125,37.7526588439941,-76.4811553955078,0
